postal_code,city
743246,alipore
743287,alipore
743435,alipore
743412,alipore
743252,alipore
743295,alipore
743178,alipore
743204,alipore
743187,alipore
743511,alipore
743251,alipore
743426,alipore
743121,alipore
743510,alipore
743423,alipore
743203,alipore
743290,alipore
743101,alipore
743262,alipore
743245,alipore
743424,alipore
743294,alipore
743443,alipore
743708,alipore
743702,alipore
743232,alipore
743298,alipore
743177,alipore
743440,alipore
743268,alipore
743269,alipore
743270,alipore
743102,alipore
743288,alipore
743221,alipore
743234,alipore
743155,alipore
743701,alipore
743428,alipore
743427,alipore
743202,alipore
743296,alipore
743216,alipore
736204,alipurduar
735208,alipurduar
736122,alipurduar
736123,alipurduar
736208,alipurduar
736206,alipurduar
736121,alipurduar
457887,alirajpur
457896,alirajpur
518543,allagadda
518553,allagadda
518674,allagadda
518594,allagadda
212502,allahabad
211003,allahabad
212215,allahabad
212214,allahabad
221505,allahabad
212503,allahabad
212106,allahabad
211022,allahabad
211069,allahabad
212405,allahabad
212304,allahabad
211005,allahabad
212401,allahabad
221504,allahabad
211020,allahabad
229413,allahabad
242222,allahabad
211016,allahabad
212404,allahabad
212204,allahabad
211013,allahabad
212301,allahabad
211041,allahabad
211008,allahabad
230204,allahabad
228411,allahabad
211019,allahabad
229411,allahabad
212212,allahabad
212208,allahabad
221508,allahabad
211015,allahabad
212410,allahabad
212107,allahabad
221507,allahabad
229412,allahabad
212507,allahabad
211002,allahabad
211004,allahabad
211014,allahabad
212302,allahabad
211012,allahabad
212216,allahabad
211001,allahabad
212303,allahabad
211007,allahabad
212306,allahabad
211009,allahabad
211018,allahabad
212213,allahabad
211010,allahabad
211017,allahabad
211011,allahabad
212305,allahabad
211006,allahabad
212307,allahabad
212105,allahabad
212501,allahabad
212403,allahabad
688585,alleppey
688007,alleppey
688012,alleppey
263622,almora
263679,almora
263687,almora
263640,almora
263664,almora
263655,almora
263633,almora
263647,almora
263636,almora
263685,almora
263678,almora
263625,almora
263658,almora
263626,almora
263631,almora
263632,almora
263628,almora
263665,almora
263648,almora
263659,almora
263634,almora
263670,almora
263651,almora
263680,almora
263681,almora
263662,almora
263621,almora
263677,almora
263688,almora
263652,almora
263684,almora
263683,almora
263667,almora
263624,almora
263682,almora
263689,almora
263686,almora
263643,almora
263663,almora
263654,almora
263661,almora
263610,almora
263637,almora
263638,almora
263646,almora
263660,almora
263623,almora
263669,almora
263676,almora
263671,almora
263656,almora
263601,almora
263675,almora
792051,along
791001,along
571185,alur
573213,alur
571220,alur
577573,alur
577219,alur
577154,alur
573146,alur
573138,alur
573129,alur
573218,alur
571172,alur
683110,aluva
683111,aluva
683103,aluva
683581,aluva
683564,aluva
683106,aluva
683571,aluva
683563,aluva
683575,aluva
683107,aluva
683580,aluva
683587,aluva
683101,aluva
683108,aluva
683105,aluva
683102,aluva
301712,alwar
321641,alwar
301044,alwar
301042,alwar
301043,alwar
321639,alwar
301022,alwar
301031,alwar
301604,alwar
301416,alwar
321006,alwar
301708,alwar
301001,alwar
301704,alwar
301032,alwar
321607,alwar
301030,alwar
301002,alwar
301424,alwar
301426,alwar
301406,alwar
301013,alwar
321640,alwar
301714,alwar
301710,alwar
301005,alwar
301421,alwar
301037,alwar
301703,alwar
310029,alwar
301401,alwar
321605,alwar
321636,alwar
301419,alwar
301023,alwar
301709,alwar
301036,alwar
301024,alwar
301029,alwar
301417,alwar
301027,alwar
301711,alwar
301702,alwar
301706,alwar
301402,alwar
301410,alwar
301420,alwar
301418,alwar
301021,alwar
